M|efConstruction|efSearch|recall@1|build_time|search_time|memory_usage
8.0|2.0|16.0|691.0|842418.0|15958.0|592566706.0
8.0|2.0|32.0|691.0|842418.0|15958.0|592566706.0
8.0|4.0|2.0|682.0|974769.0|26928.0|592566706.0
8.0|4.0|4.0|682.0|974769.0|26994.0|592566706.0
8.0|4.0|8.0|682.0|974769.0|16955.0|592566706.0
8.0|4.0|16.0|682.0|974769.0|28684.0|592566706.0
8.0|4.0|32.0|682.0|974769.0|26928.0|592566706.0
8.0|8.0|2.0|689.0|319449.0|21941.0|592566706.0
8.0|8.0|4.0|689.0|319449.0|38896.0|592566706.0
8.0|8.0|8.0|689.0|319449.0|16955.0|592566706.0
8.0|8.0|16.0|689.0|319449.0|27925.0|592566706.0
8.0|8.0|32.0|689.0|319449.0|22929.0|592566706.0
8.0|16.0|2.0|695.0|644705.0|17952.0|592566706.0
8.0|16.0|4.0|695.0|644705.0|15957.0|592566706.0
8.0|16.0|8.0|695.0|644705.0|16955.0|592566706.0
8.0|16.0|16.0|695.0|644705.0|15958.0|592566706.0
8.0|16.0|32.0|695.0|644705.0|16954.0|592566706.0
8.0|32.0|2.0|689.0|833250.0|14922.0|592566706.0
8.0|32.0|4.0|689.0|833250.0|23937.0|592566706.0
8.0|32.0|8.0|689.0|833250.0|17951.0|592566706.0
8.0|32.0|16.0|689.0|833250.0|14961.0|592566706.0
8.0|32.0|32.0|689.0|833250.0|14960.0|592566706.0
16.0|2.0|2.0|770.0|884134.0|21942.0|656258362.0
16.0|2.0|4.0|770.0|884134.0|25931.0|656258362.0
16.0|2.0|8.0|770.0|884134.0|22940.0|656258362.0
